"","text"
"147","dukunganuntukganjar mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   mari  deklarasikan dukungan  ganjar pranowo  pilpres   kabupaten nganjuk jawa timur  jumat desember "
"148","ayoo milenial indonesia   lestarikan budaya  negeri   workshopmari pembuatan wayang kulit lho   kelewatan jumat desember  kabupaten nganjuk jawa timur dukunganuntukganjar "
"149","mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   kabupaten nganjuk jawa timur  jumat desember dukunganuntukganjar "
"150","jumat desember  kab nganjuk jawa timur  kegiatan seru  bermanfaat salah satunya workshop pembuatan wayang kulit dukunganuntukganjar "
"151","yuk  kuta lestarikan budaya indonesia ayo  kepoin pembuatan wayang kulit  kabupaten nganjuk   kabupaten nganjuk jawa timur   jumat desember dukunganuntukganjar "
"152","komunitas pemuda penggiat seni wayang kulit  kabupaten nganjuk mendeklarasikan    dukunganuntukganjar sepenuhnya "
"153","keren ya  rangkaian kegiatan  acara deklarasi komunitas pemuda penggiat seni wayang kulit dukunganuntukganjar "
"154","gaess yuk mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   kabupaten nganjuk jawa timur  jumat desember dukunganuntukganjar "
"155","guys yuk ikutan milenial indonesia lestarikan budaya  negeri   jumat desember  kabupaten nganjuk jawa timur   deklarasi komunitas pemuda penggiat seni wayang kulit  workshop pembuatan wayang kulit lho dukunganuntukganjar "
"156","kabupaten nganjuk jawa timur  hadir nihh milenial indonesia lestarikan budaya  negeri  komunitas pemuda penggiat seni wayang kulit dukunganuntukganjar "
"157","budaya  kekayaan indonesia    lestarikan yuk  ikutan acaranya tgl desember    workshop pembuatan wayang kulit jg nih dukunganuntukganjar "
"158","selamat memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"159","kegblgnunfaedh  dijaman sd  asikasiknya jualan wayang  kelereng hikd"
"160","tetep mlaku sesuai jalur gusti pengeran sing gawe alur ora  ngawur awake dhewe mung wayang polah sak polah wis diatur dalang selasa hujan "
"161","senin malam giat pengamanan pagelaran wayang kulit  rangka peringatan  wayang nasional   wayang dunia  viii  kabupaten sukoharjo bertempat  terminal tawangsari ditpolpplinmas satpolppjateng sukoharjokab hjetiksuryani "
"162","bospurwa ngadangu kecap kumaha aing weh  inget si raden blekok samedin dina lalakon wayang panca suta almarhum abah asep sunandar s "
"163","justkyrul dniemrulfkri wayang gila babi mat  puas dah masak  "
"164","  kenan betullah props pocong  wayang or mall ni kesian budak budak  takut"
"165"," just happy     makan minum wayang tgk barang tu jalah kau    daus lolx"
"166"," wayang haram  "
"167","bernamatv  yg  bongkar isu  dah   dituduh   diistilahkan  mencabar  menyuarakan penafian elok kerajaan  dakwa  mmg  bukti jgn main wayang  rakyat yg kehidupan  sulit"
"168","pamungkas malam penutupan pekan budaya difabel ngayomi ngayemi  sabtu  hadir pagelaran wayang kulit  lakon gathotkaca winisuda  ki dalang kevin aditama ki kevin aditama   dalang  difabel fisik ne "
"169","arya  yt histroty nntnnya   burung bengkel storytelling hantu wayang"
"170","zakishah wayang nk   terpaling  n sibuk  fahmifadzil belajar la tukar mode  mindset pembangkang  pentadbir yg  keje nak  pc pastikan  wakil yg   important calls nmpk mcm poyo terok bro"
"171","wayang  ahahahahslang jawo laie sodap ehhhh "
"172","abuwaras aniesbaswedan wayang  dalang "
"173","tgk wayang pon cantik eh niari"
"174"," kerja tengok wayang wakanda forever "
"175","heboh warga geger  tetangganya memiliki anak  mata wayang"
"176","babinsa desa bedono sertu suroso menghadiri undangan merti dusun karanganyar ds bedono dgn mengadakan pagelaran wayang kulit  dalang ki aditya wahid dgn lakon wahyu katemtreman   bentuk  syukur  tuhan yme  melestarikan tradisi budaya "
"177"," mmg  mcm ni orang nk  wayang ka  ka lantak la   punca org  senang hati dgn dap selepas lge yg buatkan org x senang dgn dap mcm kat penang cm cky  disenangi  cm  ni "
"178","okey hati hati dijalan rayajangan drive laju laju ye awakjangan nakal nakalawak  kawan pergi ipoh tengok wayang  tu pergi tengok suami awak   baguslah   suka curang  awak  elok awak pergi tengok      awak"
"179"," kelingan nek due kuku tirex   aksesoris kalung  alat pijat  aksesoris wayang uwong kuku pancanaka wrekudara "
"180","chomingp andhikatsu catatanirfan arnoldbelau kaesangp yaudah knapa pas g gak lu kritik      fatal  ketimbang dipake anak presiden  lihat wayang dijepang digunain orang jepang  orang indonesia    salah  bentuk gunungannya aja  aja tetep bangga budaya   tunjukin "
"181","ilhamlomo garagarabola  ngancurin   membangun biar aja club gak  pssi  bego kya dalang gak  wayang"
"182","imanbudiman rashidyusoff kalo  beranikritik   tindakankalo     kerajaan  diorang takutsetakat kritik wat wayang je"
"183","coralkopi wayang kuat  ni    menangis  stage "
"184","awani bagus macamni la menteri  kerja tgk  senyap  wayang  lapangan  dengar  org "
"185","serasa  wayang versi manusia "
"186","yusufdumdum gibrantweet bapaknya aja wayang gimana anaknya  "
"187","kapolsek cangkuang polresta bandung  forkopimcan mendampingi bupati bandung hmdadang supriatna sip"
"188","ekakunjeri solehsolihun ajak nonton wayang aja yu"
"189","wayang x      motorsikal last media  jugak senyap  konon "
"190","azmishafiq syahredzan wayang kelas a sblm ni   moto phuiiii"
"191","syahredzan anthonyloke senyap   media   wayang x habis dap ni sblm ni   motopoodaahhhhhh"
"192","shezzlahhhhh i dah  kerja kat wayang  "
"193","fluxz nak tiket wayang free  tu "
"194","plis plis  beli aerostreet x mangkunegaran sm wayang "
"195","wanmafiq sabar bang single ni best jugak tau  jalan sorang tengok wayang sorang  best kannn "
"196","wayang misterius"
"197","meowwwrawrr   wayang "
"198","urblacktea gassskeun     pecinta wayang kulit hehehehe"
"199","ayo    surabaya besok nonton wayang yok "
"200","when kaka lo mulutnya kaya ular  gua tusuk aja perutnya ya kek kont anj so iye  si  barang    nahjisss kaya ga  vibes kakanya bngt aselii cocok  ank  wayang si iyuhhh"
"201","pokai sia duit  roommate ajak tengok wayang pastu schoolmate ajak jgk dlm minggu   lak tu aiyooo"
"202","wayang golek gempur rokok ilegal digelar  garut kasatpol pp jabar total rokok ilegal batang "
